,SHA256,,,AES256 Encryption,,, RSASSA-PSS Sign,,,Secure Storage Write,,,Secure Storage Read,,
,256 B,4 kB,64 kB,256 B,4 kB,64 kB,256 B,4 kB,64 kB,256 B,4 kB,64 kB,256 B,4 kB,64 kB
OP-TEE,809.9842,899.4801,2464.442,780.1457,950.2625,4219.397,290173.4,290174.5,347808.9,0.0185,0.0826,1.4337,0.0031,0.0151,0.2386
Freesia (only MTE),884.4851,1075.945,3469.104,857.0764,1174.27,5973.316,290139.1,290450.2,348491,0.0186,0.0819,1.4163,0.0032,0.0149,0.2418
Freesia (MTE+PTE),898.4589,994.7177,2647.153,880.4432,1056.348,4400.695,292499.8,290077.9,348321.3,0.0186,0.0824,1.435,0.0032,0.0154,0.237
,,,,,,,,,,,,,,,
OP-TEE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freesia (only MTE),1.091978214,1.196185441,1.407663073,1.098610683,1.235732232,1.415680013,0.999881795,1.000950118,1.001961134,1.005405405,0.991525424,0.98786357,1.032258065,0.986754967,1.013411567
Freesia (MTE+PTE),1.109230155,1.105880719,1.074138892,1.128562524,1.1116381,1.042967751,1.008017275,0.999667097,1.001473223,1.005405405,0.997578692,1.000906745,1.032258065,1.01986755,0.993294216
